 x time
0 67600.0 0.005484476
1 -0.67549 0.014852474
2 -0.67498 0.024225793
3 -0.67447 0.033595023
4 -0.67397 0.043043884
5 -0.67346 0.052345377
6 -0.67295 0.061713717
7 -0.67244 0.071090722
8 -0.67193 0.08045839
9 -0.67142 0.089854411
10 -0.67091 0.099208333
11 -0.6704 0.108605978
12 -0.66988 0.118015365
13 -0.66937 0.127355651
14 -0.66886 0.136720082
15 -0.66835 0.146105834
16 -0.66783 0.155471668
17 -0.66732 0.164837874
18 -0.6668 0.174221602
19 -0.66629 0.183588559
20 -0.66578 0.193033232
21 -0.66526 0.202329796
22 -0.66474 0.211734975
23 -0.66423 0.221081172
24 -0.66371 0.230488224
25 -0.66319 0.239851454
26 -0.66268 0.249194114
27 -0.66216 0.258598691
28 -0.66164 0.268012076
29 -0.66112 0.27735102
30 -0.6606 0.286710692
31 -0.66008 0.296088971
32 -0.65956 0.305469202
33 -0.65904 0.314825529
34 -0.65852 0.324211121
35 -0.658 0.333571034
36 -0.65747 0.343046445
37 -0.65695 0.352345052
38 -0.65643 0.361710947
39 -0.65591 0.371095266
40 -0.65538 0.380479686
41 -0.65486 0.389826244
42 -0.65433 0.399202548
43 -0.65381 0.408578121
44 -0.65328 0.41802612
45 -0.65276 0.427324066
46 -0.65223 0.436725328
47 -0.6517 0.44607929
48 -0.65118 0.455475131
49 -0.65065 0.464840574
50 -0.65012 0.474224663
51 -0.64959 0.483590988
52 -0.64906 0.493041242
53 -0.64853 0.502343797
54 -0.648 0.511706987
55 -0.64747 0.521093099
56 -0.64694 0.530458383
57 -0.64641 0.539855165
58 -0.64588 0.549207194
59 -0.64534 0.55860575
60 -0.64481 0.568042028
61 -0.64428 0.577341847
62 -0.64375 0.586716147
63 -0.64321 0.596092422
64 -0.64268 0.605462304
65 -0.64214 0.614828219
66 -0.64161 0.624207719
67 -0.64107 0.633572752
68 -0.64053 0.643047902
69 -0.64 0.652348664
70 -0.63946 0.661714488
71 -0.63892 0.671101372
72 -0.63838 0.680464952
73 -0.63784 0.689830105
74 -0.63731 0.699221258
75 -0.63677 0.708585629
76 -0.63623 0.718035301
77 -0.63569 0.727338718
78 -0.63514 0.736698532
79 -0.6346 0.746074906
80 -0.63406 0.755471619
81 -0.63352 0.764841049
82 -0.63298 0.774223044
83 -0.63243 0.783590342
84 -0.63189 0.793036648
85 -0.63134 0.802331128
86 -0.6308 0.811696341
87 -0.63025 0.821078176
