x y z time
-0.839088 -5.59299 0.00178501 2.41401
-0.838699 -5.58992 0.00178426 2.41501
-0.838309 -5.58685 0.00178352 2.41601
-0.837919 -5.58377 0.00178279 2.41701
-0.837529 -5.58070 0.00178206 2.41801
-0.837139 -5.57763 0.00178133 2.41901
-0.836748 -5.57455 0.00178062 2.42001
-0.836357 -5.57148 0.00177990 2.42101
-0.835966 -5.56841 0.00177920 2.42201
-0.835574 -5.56533 0.00177850 2.42301
-0.835183 -5.56226 0.00177781 2.42401
-0.834790 -5.55918 0.00177712 2.42501
-0.834398 -5.55611 0.00177644 2.42601
-0.834005 -5.55303 0.00177577 2.42701
-0.833612 -5.54996 0.00177510 2.42801
-0.833219 -5.54688 0.00177443 2.42901
-0.832825 -5.54381 0.00177378 2.43001
-0.832432 -5.54073 0.00177313 2.43101
-0.832037 -5.53765 0.00177248 2.43201
-0.831643 -5.53458 0.00177184 2.43301
-0.831248 -5.53150 0.00177121 2.43401
-0.830853 -5.52843 0.00177058 2.43501
-0.830458 -5.52535 0.00176996 2.43601
-0.830062 -5.52227 0.00176934 2.43701
-0.829666 -5.51919 0.00176873 2.43801
-0.829270 -5.51612 0.00176813 2.43901
-0.828874 -5.51304 0.00176753 2.44001
-0.828477 -5.50996 0.00176694 2.44101
-0.828080 -5.50688 0.00176635 2.44201
-0.827683 -5.50381 0.00176577 2.44301
-0.827285 -5.50073 0.00176520 2.44401
-0.826887 -5.49765 0.00176463 2.44501
-0.826489 -5.49457 0.00176406 2.44601
-0.826091 -5.49149 0.00176350 2.44701
-0.825692 -5.48841 0.00176295 2.44800
-0.825293 -5.48533 0.00176240 2.44900
-0.824893 -5.48225 0.00176186 2.45000
-0.824494 -5.47917 0.00176132 2.45100
-0.824094 -5.47609 0.00176079 2.45200
-0.823694 -5.47301 0.00176027 2.45300
-0.823293 -5.46993 0.00175975 2.45400
-0.822892 -5.46685 0.00175923 2.45500
-0.822491 -5.46377 0.00175872 2.45600
-0.822090 -5.46069 0.00175822 2.45700
-0.821688 -5.45760 0.00175772 2.45800
-0.821286 -5.45452 0.00175723 2.45900
-0.820884 -5.45144 0.00175674 2.46000
-0.820482 -5.44836 0.00175626 2.46100
-0.820079 -5.44528 0.00175578 2.46200
-0.819676 -5.44219 0.00175531 2.46300
-0.819272 -5.43911 0.00175484 2.46400
-0.818869 -5.43603 0.00175438 2.46500
-0.818465 -5.43294 0.00175392 2.46600
-0.818061 -5.42986 0.00175347 2.46700
-0.817656 -5.42678 0.00175303 2.46800
-0.817251 -5.42369 0.00175259 2.46900
-0.816846 -5.42061 0.00175215 2.47000
-0.816441 -5.41752 0.00175172 2.47100
-0.816035 -5.41444 0.00175130 2.47200
-0.815629 -5.41136 0.00175088 2.47300
-0.815223 -5.40827 0.00175046 2.47400
-0.814816 -5.40518 0.00175005 2.47500
-0.814409 -5.40210 0.00174965 2.47600
-0.814002 -5.39901 0.00174925 2.47700
-0.813595 -5.39593 0.00174885 2.47800
-0.813187 -5.39284 0.00174846 2.47900
-0.812779 -5.38975 0.00174808 2.48000
-0.812371 -5.38667 0.00174770 2.48100
-0.811963 -5.38358 0.00174733 2.48200
-0.811554 -5.38049 0.00174696 2.48300
-0.811145 -5.37741 0.00174659 2.48400
-0.810735 -5.37432 0.00174623 2.48500
-0.810325 -5.37123 0.00174588 2.48600
-0.809915 -5.36814 0.00174553 2.48700
-0.809505 -5.36505 0.00174518 2.48800
-0.809095 -5.36197 0.00174484 2.48900
-0.808684 -5.35888 0.00174450 2.49000
-0.808273 -5.35579 0.00174417 2.49100
-0.807861 -5.35270 0.00174385 2.49200
-0.807450 -5.34961 0.00174353 2.49300
-0.807038 -5.34652 0.00174321 2.49400
-0.806625 -5.34343 0.00174290 2.49500
-0.806213 -5.34034 0.00174259 2.49600
-0.805800 -5.33725 0.00174229 2.49700
-0.805387 -5.33416 0.00174199 2.49800
-0.804973 -5.33107 0.00174170 2.49900
-0.804559 -5.32798 0.00174141 2.50000
-0.804145 -5.32488 0.00174112 2.50100
-0.803731 -5.32179 0.00174084 2.50200
-0.803316 -5.31870 0.00174057 2.50300
-0.802902 -5.31561 0.00174030 2.50400
-0.802486 -5.31252 0.00174003 2.50500
-0.802071 -5.30942 0.00173977 2.50600
-0.801655 -5.30633 0.00173952 2.50700
-0.801239 -5.30324 0.00173926 2.50800
